
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-1-1,11,8,6,9,6,4,88,83,81,1031,1026,1019,10,10,10,47,27,64,0.00,6,Rain,211<br />
2015-1-2,13,8,3,10,1,-2,88,62,50,1034,1029,1019,10,10,10,37,26,48,0.00,2,Rain,258<br />
2015-1-3,6,3,1,5,2,0,93,89,70,1030,1023,1014,10,8,3,24,13,,0.00,6,Rain,356<br />
2015-1-4,3,1,-1,2,0,-2,93,93,87,1037,1035,1030,3,1,0,14,8,,0.00,7,Fog,247<br />
2015-1-5,9,6,3,7,5,2,93,86,76,1034,1029,1024,10,9,5,16,8,,0.00,7,,199<br />
2015-1-6,10,6,2,8,4,0,93,83,76,1026,1021,1017,10,10,8,34,16,,0.00,5,Rain,218<br />
2015-1-7,10,6,1,7,3,-1,93,81,71,1026,1023,1018,10,10,10,37,19,,0.00,3,Rain,217<br />
2015-1-8,11,8,6,9,6,3,93,83,76,1026,1021,1016,10,9,6,37,21,,0.00,5,Rain,245<br />
2015-1-9,15,11,8,12,8,5,87,75,58,1023,1016,1013,10,10,10,45,31,66,0.00,5,Rain,239<br />
2015-1-10,15,9,4,10,3,-4,82,65,43,1019,1013,1007,10,10,9,52,35,84,0.00,4,Rain,256<br />
2015-1-11,8,6,3,3,1,-2,76,67,53,1023,1021,1017,10,10,10,35,27,48,0.00,6,Rain,248<br />
2015-1-12,12,10,8,9,7,3,88,77,66,1018,1010,1003,10,10,10,45,32,63,0.00,5,Rain,226<br />
2015-1-13,11,7,4,9,4,0,88,78,66,1004,1002,1000,10,10,10,37,26,52,0.00,3,Rain,234<br />
2015-1-14,9,6,3,6,1,-2,87,70,57,1008,1004,995,10,10,8,39,27,60,0.00,3,Rain,217<br />
2015-1-15,11,8,5,8,3,-2,87,72,57,997,991,988,10,9,7,53,37,77,0.00,3,Rain,223<br />
2015-1-16,6,3,1,2,0,-3,81,73,57,1012,1004,998,10,10,10,34,21,,0.00,2,Rain,248<br />
2015-1-17,6,2,-2,2,-1,-5,87,80,70,1014,1012,1011,10,10,10,26,16,,0.00,3,,218<br />
2015-1-18,4,1,-2,2,0,-4,93,87,81,1014,1012,1010,10,10,7,14,8,,0.00,3,Rain,317<br />
2015-1-19,4,0,-3,0,-2,-4,93,83,70,1014,1013,1012,10,9,3,14,8,,0.00,4,,321<br />
2015-1-20,4,-1,-5,1,-2,-6,93,84,65,1012,1010,1007,10,9,8,26,6,,0.00,2,,168<br />
2015-1-21,3,1,0,0,-1,-2,93,83,70,1013,1009,1005,10,9,6,24,16,,0.00,4,Rain-Snow,113<br />
2015-1-22,4,2,0,0,-2,-3,93,77,65,1025,1020,1014,10,9,8,14,8,,0.00,6,,10<br />
2015-1-23,7,1,-3,5,-2,-5,93,80,70,1026,1024,1018,10,9,6,27,11,,0.00,4,Rain,223<br />
2015-1-24,7,4,2,6,1,-2,93,74,61,1031,1025,1016,10,9,6,27,21,,0.00,2,Rain,295<br />
2015-1-25,8,4,2,5,1,-1,87,75,66,1031,1029,1024,10,10,10,21,13,,0.00,4,,244<br />
2015-1-26,11,7,4,8,3,0,87,74,54,1027,1023,1020,10,10,10,29,21,42,0.00,4,Rain,283<br />
2015-1-27,9,6,3,4,2,0,87,76,66,1027,1025,1019,10,10,10,19,13,,0.00,5,,269<br />
2015-1-28,10,7,3,8,1,-4,87,70,49,1017,1003,997,10,10,8,42,29,64,0.00,4,Rain,241<br />
2015-1-29,7,3,0,0,-1,-3,87,74,57,996,983,976,10,10,7,37,29,55,0.00,3,Rain-Snow,254<br />
2015-1-30,5,2,0,2,-1,-2,93,83,70,980,978,975,10,9,2,27,14,,0.00,5,Rain-Snow,280<br />
2015-1-31,4,1,-2,1,-1,-3,93,81,65,991,984,979,10,10,9,34,18,48,0.00,5,Rain-Snow,289<br />
2015-2-1,5,3,0,1,-2,-4,81,71,61,1004,998,991,10,10,10,37,27,61,0.00,5,Rain-Snow,310<br />
2015-2-2,4,0,-3,-1,-5,-7,87,70,56,1005,1004,1003,10,10,10,19,13,,0.00,1,,290<br />
2015-2-3,5,2,-1,1,-1,-4,93,84,75,1014,1008,1003,10,9,5,23,11,,0.00,4,Snow,339<br />
2015-2-4,4,2,1,1,-1,-1,87,83,75,1023,1019,1014,10,10,7,26,16,,0.00,4,,335<br />
2015-2-5,6,3,0,1,-1,-4,93,81,53,1029,1025,1022,10,10,10,29,16,,0.00,3,Rain-Snow,11<br />
2015-2-6,5,2,0,-1,-3,-4,87,71,61,1033,1030,1028,10,10,10,35,23,50,0.00,4,,38<br />
2015-2-7,6,2,-1,3,1,-3,93,84,76,1037,1035,1033,10,10,7,19,14,,0.00,5,,356<br />
2015-2-8,7,4,2,3,1,-1,87,79,66,1038,1037,1035,10,10,9,23,14,,0.00,2,,316<br />
